date,domain,source_ip,source_port,destination_ip,destination_port,status,prediction
2024-06-13 09:11:49,,120.241.118.152,20054,10.21.250.9,51863,ALLOW,Normal
2024-06-13 09:11:49,,120.241.118.152,20054,10.21.250.9,51863,ALLOW,Normal
2024-06-13 09:11:49,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:49,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:49,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:49,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:49,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:49,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:49,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:49,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:50,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:50,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:50,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:50,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:50,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:50,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:50,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:57,,120.241.118.153,20054,10.21.250.9,51903,ALLOW,Normal
2024-06-13 09:11:58,,120.241.118.152,20054,10.21.250.9,51875,ALLOW,Normal
2024-06-13 09:11:58,,120.241.118.152,20054,10.21.250.9,51875,ALLOW,Normal
2024-06-13 09:11:58,,120.241.118.152,20054,10.21.250.9,51875,ALLOW,Normal
2024-06-13 09:11:58,,120.241.118.152,20054,10.21.250.9,51875,ALLOW,Normal
2024-06-13 09:11:58,,120.241.118.152,20054,10.21.250.9,51875,ALLOW,Normal
2024-06-13 09:12:00,,119.3.210.249,443,10.21.250.9,23748,ALLOW,Normal
2024-06-13 09:12:00,,120.241.118.152,20054,10.21.250.9,51875,ALLOW,Normal
2024-06-13 09:12:00,,120.241.118.152,20054,10.21.250.9,51875,ALLOW,Normal
2024-06-13 09:12:02,,120.241.118.152,20054,10.21.250.9,51875,ALLOW,Normal
2024-06-13 09:12:02,,120.241.118.152,20054,10.21.250.9,51875,ALLOW,Normal
2024-06-13 09:12:02,,120.241.118.152,20054,10.21.250.9,51875,ALLOW,Normal
2024-06-13 09:12:02,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:02,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:02,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:03,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:03,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:03,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:03,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:03,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:03,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:03,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:03,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:03,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:04,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:04,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:04,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:04,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:04,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:04,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:05,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:05,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:05,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:05,,120.233.205.148,20038,10.21.250.9,51929,ALLOW,Normal
2024-06-13 09:12:06,,120.233.205.148,20038,10.21.250.9,51935,ALLOW,Normal
2024-06-13 09:12:06,,120.233.205.148,20038,10.21.250.9,51935,ALLOW,Normal
2024-06-13 09:12:06,,120.233.205.148,20038,10.21.250.9,51935,ALLOW,Normal
2024-06-13 09:12:07,,120.233.205.148,20038,10.21.250.9,51935,ALLOW,Normal
2024-06-13 09:12:07,,120.233.205.148,20038,10.21.250.9,51935,ALLOW,Normal
2024-06-13 09:12:07,,120.233.205.148,20038,10.21.250.9,51935,ALLOW,Normal
2024-06-13 09:12:07,,120.233.205.148,20038,10.21.250.9,51935,ALLOW,Normal
2024-06-13 09:12:07,,120.233.205.148,20038,10.21.250.9,51935,ALLOW,Normal
2024-06-13 09:12:07,,120.233.205.148,20038,10.21.250.9,51935,ALLOW,Normal
